location_code,year,location_id,product_id,export_value,import_value,hs_eci,hs_coi,pci
ABW,2017,0,16366,297508704.5031738,1949417548.7565916,87.28385207999987,15.104727120000014,-25.095589905353147
AFG,2017,102,16366,1365085973.7652588,12037650378.845947,-107.19682859999993,-85.4472431399999,-25.095589905353147
AGO,2017,204,16366,32141116460.45531,25890398786.531372,-146.40154859999998,-123.79466640000015,-25.095589905353147
AIA,2017,291,14356,10708659.36743164,94499499.62792969,117.84576559999995,-15.27865623999997,-24.18609870535315
ALB,2017,408,16366,5648847910.671448,6986703968.910889,-43.21632900000012,-15.566238359999995,-25.095589905353147
AND,2017,510,16366,106966073.47906494,1495324424.3559341,109.6425845999999,49.429220400000055,-25.095589905353147
ANS,2017,24250,14356,115265423250.64795,275744963370.27075,70.83487468,-17.027871789999995,-24.18609870535315
ARE,2017,714,16366,238583335008.35596,230204036640.42188,20.79126078000003,1.4815488780000026,-25.095589905353147
ARG,2017,816,16366,72175281504.29565,87412655276.22595,-12.025258379999999,21.158024220000033,-25.095589905353147
ARM,2017,918,16366,3940256830.0202637,5298647359.17512,-22.79488247999997,-65.36177034000005,-25.095589905353147
ASM,2017,1020,16366,31916526.837890625,146478263.51831055,86.21502672000018,-23.773150199999996,-25.095589905353147
ATA,2017,1067,14356,4310036.468994141,33460206.657470703,195.4483749000003,-38.90626349999996,-24.18609870535315
ATF,2017,1164,14356,8424130.233032227,44038644.12573242,9.747890258000004,-79.35126321999982,-24.18609870535315
ATG,2017,1326,16366,1127545124.1143017,1547952577.8040771,43.713352560000075,-41.96926680000002,-25.095589905353147
AUS,2017,1428,16366,292180748726.5519,278976651107.7534,-42.61853453999999,-14.76615953999999,-25.095589905353147
AUT,2017,1530,16366,226452793643.13123,223771809444.2932,178.88125560000023,-7.69110293999999,-25.095589905353147
AZE,2017,1632,16366,20540987501.460327,16328724995.019714,-103.06020839999975,-121.7530751999998,-25.095589905353147
BDI,2017,1734,16366,229742985.23526,726697595.8825226,-75.3089051999999,-100.8693452999998,-25.095589905353147
BEL,2017,1836,16366,504525922808.89636,491793716443.56665,121.37985719999985,140.33606759999998,-25.095589905353147
BEN,2017,1938,16366,1535062837.148285,6016785365.104736,-76.63347311999986,-76.50757859999999,-25.095589905353147
BES,2017,1940,14356,11745321.73852539,239430353.3635254,74.98088360000008,-77.07106870000011,-24.18609870535315
BFA,2017,2142,16366,2932511874.649775,4196042751.781006,-108.18929879999988,-107.29182120000009,-25.095589905353147
BGD,2017,2244,16366,37100055859.03259,58913113494.08075,-100.53815640000019,-98.02724891999976,-25.095589905353147
BGR,2017,2346,16366,40239966989.7005,39856846666.55481,57.90442385999994,173.4561204000001,-25.095589905353147
BHR,2017,2448,16366,26267971036.823242,22624038138.637512,48.66748746000004,-54.03307199999998,-25.095589905353147
BHS,2017,2550,16366,4029380607.6085205,10967133730.202637,-14.76533232000002,-80.6290824000001,-25.095589905353147
