location_code,year,location_id,product_id,export_value,import_value,hs_eci,hs_coi,pci
ABW,2016,0,16366,2362524091.714752,2857797280.1693115,95.65390680000006,28.339119000000064,-22.244405569863087
AFG,2016,102,16366,1510028708.8621216,10224676689.056946,-143.97730440000012,-100.99374960000026,-22.244405569863087
AGO,2016,204,16366,27721969020.732273,24073764184.271667,-119.49231659999981,-127.66331220000014,-22.244405569863087
AIA,2016,291,14356,10049469.89477539,62082130.748291016,115.84464589999978,-24.90649600000001,-21.67433796986309
ALB,2016,408,16366,4747148932.582092,6237746509.364258,-53.611845660000064,-11.99177422800001,-22.244405569863087
AND,2016,510,16366,99674208.53633118,1394459135.6757202,114.46845960000017,52.197582000000054,-22.244405569863087
ANS,2016,24250,14356,103893900362.17047,323946871370.5187,68.36576489999993,3.563514220000009,-21.67433796986309
ARE,2016,714,16366,190475251004.573,217747402519.98767,17.151335699999986,10.846423979999974,-22.244405569863087
ARG,2016,816,16366,70547109846.33978,73146516769.47198,-12.678060012000014,18.25258482000002,-22.244405569863087
ARM,2016,918,16366,3331151539.8155212,4286882901.3391733,-2.7548009040000068,-52.49560559999986,-22.244405569863087
ASM,2016,1020,16366,36225896.47583008,159431935.81921387,31.78509719999994,-59.12619719999994,-22.244405569863087
ATA,2016,1067,14356,8560374.752075195,39614959.869262695,91.64312164999983,-61.62423580000012,-21.67433796986309
ATF,2016,1164,14356,8360204.066894531,23626827.002685547,24.595925280000028,-76.27365595000005,-21.67433796986309
ATG,2016,1326,16366,1165252289.7223454,1504593797.9592285,34.30340580000006,-51.297503400000004,-22.244405569863087
AUS,2016,1428,16366,245564541005.56494,235999911493.01355,-23.12463930000006,2.897932505999997,-22.244405569863087
AUT,2016,1530,16366,205969503540.4048,201376675560.43457,180.46407120000006,4.391043899999992,-22.244405569863087
AZE,2016,1632,16366,16509860594.05757,15423153309.231323,-89.85402359999998,-120.39910679999976,-22.244405569863087
BDI,2016,1734,16366,269444366.8493347,647898322.3500977,-105.08610180000001,-90.04841928000012,-22.244405569863087
BEL,2016,1836,16366,464386054899.10645,455559152268.0801,120.60357600000022,144.1973490000004,-22.244405569863087
BEN,2016,1938,16366,1248534452.550232,5895539533.750244,-94.52779619999997,-80.68342392000007,-22.244405569863087
BES,2016,1940,14356,9074096.087768555,377879901.8149414,52.120296079999946,-82.11018959999984,-21.67433796986309
BFA,2016,2142,16366,2431932958.001213,3614024538.908386,-111.34645379999989,-101.89383840000013,-22.244405569863087
BGD,2016,2244,16366,34965649905.1991,50977393237.42798,-112.59029280000017,-109.06471380000006,-22.244405569863087
BGR,2016,2346,16366,35502068305.37775,34370983944.778564,54.43851180000007,176.1241751999998,-22.244405569863087
BHR,2016,2448,16366,22073661336.140564,19533581747.831604,35.22983100000004,-52.6346173199999,-22.244405569863087
BHS,2016,2550,16366,4171864628.8372803,9126059261.516235,9.944496119999998,-70.84487009999994,-22.244405569863087
BIH,2016,2652,16366,7256024400.074524,8094129719.21637,47.53455509999994,59.86066247999991,-22.244405569863087
BLM,2016,2619,14356,10606553.553344727,131592656.40185547,106.96125009999989,-7.68373762999999,-21.67433796986309
BLR,2016,2856,16366,27434786174.035583,28986684113.231445,80.27688660000015,84.64821594000001,-22.244405569863087
BLZ,2016,2958,16366,905128860.8851318,1120390228.8482056,-48.38241174000005,-68.70806700000001,-22.244405569863087
BMU,2016,3060,16366,1454035732.9470978,4057150552.368042,98.28097799999983,-58.15747872000014,-22.244405569863087
BOL,2016,3162,16366,8091384266.535706,9584716091.969917,-106.62634259999986,-105.22021140000021,-22.244405569863087
BRA,2016,3264,16366,216109411273.15125,202472017906.97925,28.67567514000002,69.98848319999993,-22.244405569863087
BRB,2016,3366,16366,386985776.72660255,1323727959.2148438,58.61500380000007,3.179001768,-22.244405569863087
BRN,2016,3468,16366,5238076038.521423,4874320423.017395,16.37950272000003,-76.51794689999993,-22.244405569863087
BTN,2016,3570,16366,288324998.7196045,668065089.5092773,-23.592699960000026,-82.45413780000011,-22.244405569863087
BVT,2016,3492,14356,590450.6945800781,909691.5069580078,118.41456389999975,-77.67350659999997,-21.67433796986309
BWA,2016,3774,16366,7281751083.558624,6779332258.282776,-100.02465270000003,-128.5873404000001,-22.244405569863087
CAF,2016,3876,16366,131231167.54832458,249007196.67895508,-45.849591599999954,-72.9949230000001,-22.244405569863087
CAN,2016,3978,16366,462726185740.8898,507375475285.57764,69.34095353999984,113.61104759999985,-22.244405569863087
CCK,2016,3880,14356,3050893.9526367188,10168165.072265625,204.4638653000004,-15.41582878999998,-21.67433796986309
CHE,2016,4182,16366,416730045130.7284,354998757324.51855,239.15169900000032,81.63964026000004,-22.244405569863087
CHL,2016,4284,16366,66485382140.58276,69258836508.44226,-39.34442328000004,-51.07152240000012,-22.244405569863087
CHN,2016,4386,16366,2302042987957.9736,1661615270621.4092,111.16189499999977,182.27410200000017,-22.244405569863087
CIV,2016,4488,16366,11603013286.471313,11147045145.756912,-101.96094419999989,-90.05991569999988,-22.244405569863087
CMR,2016,4590,16366,5242441634.932373,7534512434.875961,-115.57505759999988,-108.90253379999974,-22.244405569863087
COD,2016,4692,16366,4720980535.093506,7157648919.108887,-157.98113939999976,-122.38269060000015,-22.244405569863087
COG,2016,4794,16366,7039060729.2013855,8531684760.505341,-72.29148611999982,-107.8147955999998,-22.244405569863087
COK,2016,4656,14356,29131361.975463867,148729919.35717773,24.192822379999974,-74.99478952000004,-21.67433796986309
COL,2016,4998,16366,42524833568.33972,53513089503.97327,8.839340399999998,-15.463041899999986,-22.244405569863087
COM,2016,5100,16366,68293576.40498352,391705717.0390625,-44.27606820000001,-83.0504502,-22.244405569863087
CPV,2016,5202,16366,646199986.2537842,1055054034.6965942,41.778135120000044,-62.84229179999994,-22.244405569863087
CRI,2016,5304,16366,20373482481.089355,17529146618.85132,20.253211800000027,-17.694009359999992,-22.244405569863087
CUB,2016,5508,16366,1296287718.6660156,6860696250.78833,-65.08571040000008,-110.85466080000013,-22.244405569863087
CUW,2016,5335,14356,1130906889.7971191,1461775970.4507446,23.756643449999974,-72.24046287999994,-21.67433796986309
CXR,2016,5432,14356,21344141.81262207,33461095.845581055,57.1297844499999,-63.24349559999988,-21.67433796986309
CYM,2016,5814,16366,351298061.96728516,3792249993.227295,126.50783579999971,-70.28916900000006,-22.244405569863087
CYP,2016,5916,16366,13666113619.337769,15015629118.061096,46.10994863999995,7.075450319999988,-22.244405569863087
CZE,2016,6018,16366,181007113899.98743,153044528760.37195,189.4450386000002,49.19106876000007,-22.244405569863087
DEU,2016,6222,16366,1629223728436.463,1322871387501.0762,224.6182799999994,-218.32189139999974,-22.244405569863087
DJI,2016,6324,16366,502543168.859375,3861396463.5078735,9.73306848000001,-57.847786319999955,-22.244405569863087
DMA,2016,6426,16366,277943254.78125,334595764.19281006,21.771920400000024,-40.610782860000064,-22.244405569863087
DNK,2016,6528,16366,158014509829.4071,143462554293.81824,116.56704840000008,131.91564120000027,-22.244405569863087
DOM,2016,6630,16366,17776849307.71936,19875595786.385498,-27.988065600000034,32.19330426000007,-22.244405569863087
DZA,2016,6732,16366,32756599739.48333,58236143494.60687,-100.87377720000003,-126.14704139999978,-22.244405569863087
ECU,2016,6834,16366,18833556278.46991,18122141329.456604,-112.79106959999984,-107.42739960000014,-22.244405569863087
EGY,2016,6936,16366,37805416694.80237,84975012128.50092,-15.116111339999966,169.44731639999986,-22.244405569863087
ERI,2016,7038,16366,323340044.5065918,362076149.864563,-172.0704605999998,-103.7000849999998,-22.244405569863087
ESH,2016,6790,14356,6861270.059326172,1533409.5157470703,-113.8637216000002,-88.55871467999991,-21.67433796986309
ESP,2016,7242,16366,410239593582.5691,363372068515.81226,79.102479,257.5156668000003,-22.244405569863087
EST,2016,7344,16366,19723243092.701294,21671499114.7265,102.06642239999974,117.26306580000016,-22.244405569863087
ETH,2016,7446,16366,5479739665.465942,15785998795.53125,-102.26586299999991,-75.51587340000002,-22.244405569863087
FIN,2016,7548,16366,85146723484.10461,91801758149.17987,160.34577479999956,104.03182980000015,-22.244405569863087
FJI,2016,7650,16366,2284458838.006256,2649959513.270447,-25.342195800000017,19.910819219999997,-22.244405569863087
