location_code,year,location_id,product_id,export_value,import_value,hs_eci,hs_coi,pci,country_name
ABW,2018,0,16366,212836761.65472412,1508728122.7617188,93.45744900000017,-20.370432239999996,-26.43841369591136,Aruba
AFG,2018,102,16366,1189540998.0594482,9601058337.658142,-116.88768539999977,-79.66589639999987,-26.43841369591136,Afghanistan
AGO,2018,204,16366,42527463507.72437,21187591741.07959,-128.86539239999996,-117.88035960000018,-26.43841369591136,Angola
AIA,2018,291,14356,12108599.170532227,134475528.91809082,149.61355660000035,-14.10847540000002,-25.27750739591136,Anguilla
ALB,2018,408,16366,6449803744.477905,7962410234.32251,-39.92403419999994,-12.687136380000013,-26.43841369591136,Albania
AND,2018,510,16366,101330726.4102478,1592910323.9895515,100.78042373999999,49.14591845999994,-26.43841369591136,Andorra
ANT,2018,582,14356,2249480.759033203,0.0,169.5053368999999,-44.453742000000055,-25.27750739591136,Netherlands Antilles
ARE,2018,714,16366,331993002913.8329,217070004272.3238,19.797438060000005,-31.980913739999988,-26.43841369591136,United Arab Emirates
ARG,2018,816,16366,75633976620.68573,84219285838.69385,-10.395857339999981,15.734393519999974,-26.43841369591136,Argentina
ARM,2018,918,16366,4421250107.078754,6106296354.557748,-35.605733640000004,-60.94055891999983,-26.43841369591136,Armenia
ASM,2018,1020,16366,59557793.100097656,149899271.37817383,88.03934874000012,-41.01199680000005,-26.43841369591136,American Samoa
ATA,2018,1067,14356,12971361.196411133,16721797.869506836,175.7423495999998,-55.83487325000004,-25.27750739591136,Antarctica
ATF,2018,1164,14356,9625901.998291016,21623465.114501953,16.214522909999985,-79.51997919999985,-25.27750739591136,French Southern Territories
ATG,2018,1326,16366,163414517.87438965,1129808029.8515015,27.899488799999965,-56.40841127999994,-26.43841369591136,Antigua and Barbuda
AUS,2018,1428,16366,316172267162.5238,286083365434.1631,-28.723087799999956,-9.962157420000011,-26.43841369591136,Australia
AUT,2018,1530,16366,249773283821.47742,245092595739.20526,177.72577920000018,-5.148604835999998,-26.43841369591136,Austria
AZE,2018,1632,16366,23182289586.041565,16820692756.6203,-118.28193359999989,-121.69665900000012,-26.43841369591136,Azerbaijan
BDI,2018,1734,16366,213920232.12429047,502964398.95747375,-64.92397307999993,-91.19856719999987,-26.43841369591136,Burundi
BEL,2018,1836,16366,557426066101.9355,546978385742.8612,124.78637160000024,135.50067600000023,-26.43841369591136,Belgium
BEN,2018,1938,16366,1146996274.4723206,5877821589.44696,-59.73939773999991,-76.77937289999997,-26.43841369591136,Benin
BFA,2018,2142,16366,2754357142.243683,3011119143.044525,-71.16994919999992,-90.44326739999978,-26.43841369591136,Burkina Faso
BGD,2018,2244,16366,42322443368.38098,66933857208.385864,-89.65307034000014,-96.05864280000009,-26.43841369591136,Bangladesh
BGR,2018,2346,16366,43568218148.9718,43825272936.693726,60.58357830000009,185.12867400000016,-26.43841369591136,Bulgaria
BHR,2018,2448,16366,19464637748.959045,19281756817.501038,38.02172604000003,-68.21644739999998,-26.43841369591136,Bahrain
BHS,2018,2550,16366,1476926907.368103,10137238100.886963,-7.552775640000017,-70.8978948000001,-26.43841369591136,Bahamas
BIH,2018,2652,16366,9390569467.901794,10185759244.911194,55.71460320000008,74.4988008000001,-26.43841369591136,Bosnia and Herzegovina
BLM,2018,2619,14356,5391658.049316406,209292994.9227295,62.37629038000009,-30.519794819999973,-25.27750739591136,Saint Barthélemy
BLR,2018,2856,16366,37860009897.37335,40770373727.43152,89.28039600000007,83.91218700000009,-26.43841369591136,Belarus
BLZ,2018,2958,16366,1072436693.1429596,1266381501.8466797,-14.377548720000018,-53.84714130000013,-26.43841369591136,Belize
BMU,2018,3060,16366,208134615.80792236,1682869852.13208,57.706367400000026,-62.29926828000015,-26.43841369591136,Bermuda
BOL,2018,3162,16366,9742486918.677399,10566194696.419205,-115.91435040000016,-106.8180515999999,-26.43841369591136,Bolivia
BRA,2018,3264,16366,269292680951.1955,247228583889.78088,15.902929140000012,54.29328419999994,-26.43841369591136,Brazil
BRB,2018,3366,16366,464123352.7199707,1544509249.9833374,44.1927382799999,-10.248094020000016,-26.43841369591136,Barbados
BRN,2018,3468,16366,7066556055.955004,6165565650.373535,69.56547900000001,-73.6173830999998,-26.43841369591136,Brunei Darussalam
